"","YEAR_N","economics","YEAR_N.1","economics.i"
"1",1950,34481650,1950,311153212.206051
"2",1951,65505990,1951,557649604.841913
"3",1952,94102240,1952,789205935.765368
"4",1953,596104700,1953,5014526910.21272
"5",1954,85805320,1954,724659629.155536
"6",1955,82660630,1955,698135695.571407
"7",1956,116912350,1956,954839959.481149
"8",1957,224388890,1957,1780968224.62225
"9",1958,128994610,1958,1005723519.76187
"10",1959,87453040,1959,670441672.307658
"11",1960,118224240,1960,893829462.223852
"12",1961,179388730,1961,1346833219.11399
"13",1962,67200730,1962,498061772.436894
"14",1963,87230580,1963,636332743.532949
"15",1964,165990820,1964,1198886880.08442
"16",1965,1762499040,1965,12492485163.1413
"17",1966,476629360,1966,3264076994.12494
"18",1967,577019220,1967,3836477522.85595
"19",1968,210079910,1968,1334074920.03237
"20",1969,113274230,1969,677333099.550102
"21",1970,625205980,1970,3540221093.5657
"22",1971,202120550,1971,1107942984.55426
"23",1972,151172570,1972,801418563.9837
"24",1973,2063066560,1973,10061670650.3442
"25",1974,1943517780,1974,8440450349.54048
"26",1975,826723790,1975,3358611969.53299
"27",1976,308497190,1976,1194744722.01811
"28",1977,342024230,1977,1241413210.00828
"29",1978,616068160,1978,2051453865.26034
"30",1979,946241240,1979,2781025382.96533
"31",1980,2152814350,1980,5624153146.23705
"32",1981,765888310,1981,1837334032.36798
"33",1982,1429218000,1982,3303115822.46621
"34",1983,765855590,1983,1705198171.44574
"35",1984,2131171390,1984,4566997790.082
"36",1985,1608097210,1985,3319918090.69767
"37",1986,1034912340,1986,2113330789.62456
"38",1987,407837950,1987,797721048.366174
"39",1988,1124214650,1988,2106260862.4127
"40",1989,1760051050,1989,3152510180.93501
"41",1990,1560568070,1990,2634502202.76534
"42",1991,1152296430,1991,1886780592.39402
"43",1992,1406688900,1992,2238411197.26803
"44",1993,21986579272,1993,34066618843.9072
"45",1994,9583624723.3,1994,14458749087.2169
"46",1995,12695220210.81,1995,18686040902.1193
"47",1996,7975346190,1996,11363870573.0402
"48",1997,10786139640,1997,15111995668.9974
"49",1998,16111480980,1998,22217620135.5124
"50",1999,12253510650,1999,16453267678.2188
"51",2000,8950598650,2000,11623132141.0806
"52",2001,11843771770,2001,15137962101.5722
"53",2002,5511250590,2002,6879036051.6428
"54",2003,11397618590,2003,13961026863.171
"55",2004,26798776720,2004,31777365693.0478
"56",2005,100824993470,2005,115624691062.312
"57",2006,125471672890,2006,140379666367.617
"58",2007,7480086160,2007,8039228786.49125
"59",2008,17778176080,2008,19088021425.7726
"60",2009,5749424130,2009,6010735456.7085
"61",2010,11031773640,2010,11362726849.2
"62",2011,21555723960,2011,21555723960
