year,index
1950,9.023733267
1951,8.512955912
1954,8.44539277
1952,8.386685968
1955,8.445806614
1953,8.412157982
1956,8.167143672
1957,7.936971499
1958,7.796632121
1959,7.666304937
1960,7.560458517
1961,7.507903195
1962,7.411553006
1963,7.294835636
1964,7.22260954
1965,7.087938705
1966,6.848249957
1967,6.648786366
1968,6.350321266
1969,5.97958688
1970,5.662487575
1971,5.481594942
1972,5.301349074
1973,4.877046066
1974,4.342872721
1975,4.062556334
1976,3.872789642
1977,3.629606037
1978,3.329913796
1979,2.93902365
1980,2.612465467
1981,2.398958188
1982,2.311135056
1983,2.226527029
1984,2.142951905
1985,2.064500871
1986,2.042038449
1987,1.955975525
1988,1.873539775
1989,1.791147013
1990,1.688168721
1991,1.637409041
1992,1.59126243
1993,1.549427877
1994,1.508693162
1995,1.471895768
1996,1.424874896
1997,1.401056928
1998,1.37899304
1999,1.342739085
2000,1.298587122
2001,1.278136931
2002,1.248180597
2003,1.224907357
2004,1.185776725
2005,1.146786001
2006,1.118815611
2007,1.074750827
2008,1.07367715
2009,1.04545
2010,1.03
2011,1
